n_cores,chunking_factor,n_chunks,grid_width,grid_height,max_iterations,complexity,serial_time,parallel_time,speedup,efficiency_percent
1,1,1,4096,4096,100,1677721600,25.34271788597107,25.34271788597107,1.0,100.0
2,1,2,4096,4096,100,1677721600,25.34271788597107,13.354720115661621,1.8976599783810248,94.88299891905125
4,1,4,4096,4096,100,1677721600,25.34271788597107,10.085216999053955,2.512857967096627,62.82144917741568
6,1,6,4096,4096,100,1677721600,25.34271788597107,7.527482986450195,3.3666921508277188,56.11153584712865
8,1,8,4096,4096,100,1677721600,25.34271788597107,6.262441873550415,4.046778939858379,50.584736748229744
10,1,10,4096,4096,100,1677721600,25.34271788597107,5.199876070022583,4.873715747202607,48.73715747202607
12,1,12,4096,4096,100,1677721600,25.34271788597107,4.862628221511841,5.211732571669186,43.431104763909886
14,1,14,4096,4096,100,1677721600,25.34271788597107,4.479477643966675,5.6575163222668845,40.41083087333489
2,10,20,4096,4096,100,1677721600,25.34271788597107,13.403704166412354,1.8907249497102503,94.53624748551252
4,10,40,4096,4096,100,1677721600,25.34271788597107,7.340965270996094,3.452232363242378,86.30580908105945
6,10,60,4096,4096,100,1677721600,25.34271788597107,5.104552268981934,4.964728844088317,82.74548073480528
8,10,80,4096,4096,100,1677721600,25.34271788597107,4.4391748905181885,5.708880256126335,71.3610032015792
10,10,100,4096,4096,100,1677721600,25.34271788597107,4.005634069442749,6.326768108774516,63.26768108774517
12,10,120,4096,4096,100,1677721600,25.34271788597107,3.7844510078430176,6.6965374458408915,55.804478715340764
14,10,140,4096,4096,100,1677721600,25.34271788597107,3.7041378021240234,6.84173193325558,48.86951380896843
2,25,50,4096,4096,100,1677721600,25.34271788597107,13.651471853256226,1.8564091959011864,92.82045979505932
4,25,100,4096,4096,100,1677721600,25.34271788597107,7.30138897895813,3.470944769413907,86.77361923534768
6,25,150,4096,4096,100,1677721600,25.34271788597107,5.235783100128174,4.840291777050632,80.67152961751054
8,25,200,4096,4096,100,1677721600,25.34271788597107,4.275647163391113,5.927223860509383,74.09029825636729
10,25,250,4096,4096,100,1677721600,25.34271788597107,3.8145880699157715,6.643631611454878,66.43631611454877
12,25,300,4096,4096,100,1677721600,25.34271788597107,3.813946008682251,6.644750037960601,55.372916983005005
14,25,350,4096,4096,100,1677721600,25.34271788597107,3.8352150917053223,6.607900021248214,47.19928586605867
2,50,100,4096,4096,100,1677721600,25.34271788597107,13.525537967681885,1.8736938927327937,93.68469463663969
4,50,200,4096,4096,100,1677721600,25.34271788597107,7.243602991104126,3.4986343007885,87.4658575197125
6,50,300,4096,4096,100,1677721600,25.34271788597107,5.141783714294434,4.928779445840353,82.1463240973392
8,50,400,4096,4096,100,1677721600,25.34271788597107,4.151668071746826,6.104225445775594,76.30281807219492
10,50,500,4096,4096,100,1677721600,25.34271788597107,3.668821096420288,6.90759162683028,69.0759162683028
12,50,600,4096,4096,100,1677721600,25.34271788597107,4.197948217391968,6.036929607892014,50.30774673243344
14,50,700,4096,4096,100,1677721600,25.34271788597107,4.502985954284668,5.627980665108902,40.19986189363502
2,100,200,4096,4096,100,1677721600,25.34271788597107,13.379103899002075,1.8942014410891406,94.71007205445703
4,100,400,4096,4096,100,1677721600,25.34271788597107,7.300144910812378,3.471536277099857,86.78840692749642
6,100,600,4096,4096,100,1677721600,25.34271788597107,5.738006830215454,4.416641289536333,73.61068815893888
8,100,800,4096,4096,100,1677721600,25.34271788597107,4.089112997055054,6.1976076240061575,77.47009530007696
10,100,1000,4096,4096,100,1677721600,25.34271788597107,3.5855767726898193,7.067961305137397,70.67961305137396
12,100,1200,4096,4096,100,1677721600,25.34271788597107,4.248677968978882,5.9648479058679715,49.707065882233096
14,100,1400,4096,4096,100,1677721600,25.34271788597107,7.968293190002441,3.180444956238276,22.717463973130545
