n_cores,chunking_factor,n_chunks,grid_width,grid_height,max_iterations,complexity,log_complexity,serial_time,parallel_time,speedup,efficiency_percent
1,10,1,256,256,100,6553600,23,0.10133194923400879,0.10133194923400879,1.0,100.0
1,10,1,512,512,100,26214400,25,0.3996260166168213,0.3996260166168213,1.0,100.0
1,10,1,1024,1024,100,104857600,27,1.606813907623291,1.606813907623291,1.0,100.0
1,10,1,2048,2048,100,419430400,29,6.452423095703125,6.452423095703125,1.0,100.0
1,10,1,4096,4096,100,1677721600,31,25.447195053100586,25.447195053100586,1.0,100.0
1,10,1,8192,8192,100,6710886400,33,102.33332109451294,102.33332109451294,1.0,100.0
2,10,20,256,256,100,6553600,23,0.10133194923400879,0.48664188385009766,0.2082269377068713,10.411346885343566
2,10,20,512,512,100,26214400,25,0.3996260166168213,0.6204619407653809,0.6440782107019427,32.20391053509714
2,10,20,1024,1024,100,104857600,27,1.606813907623291,1.2484230995178223,1.287074797193267,64.35373985966335
2,10,20,2048,2048,100,419430400,29,6.452423095703125,3.710381031036377,1.7390189960896942,86.95094980448471
2,10,20,4096,4096,100,1677721600,31,25.447195053100586,13.312477827072144,1.9115295727555228,95.57647863777615
2,10,20,8192,8192,100,6710886400,33,102.33332109451294,53.179754972457886,1.924290947702034,96.2145473851017
4,10,40,256,256,100,6553600,23,0.10133194923400879,0.4798119068145752,0.21119098503982903,5.279774625995726
4,10,40,512,512,100,26214400,25,0.3996260166168213,0.5477769374847412,0.7295415145657774,18.238537864144437
4,10,40,1024,1024,100,104857600,27,1.606813907623291,0.872042179107666,1.8425873726285744,46.06468431571436
4,10,40,2048,2048,100,419430400,29,6.452423095703125,2.139897108078003,3.015295955747384,75.3823988936846
4,10,40,4096,4096,100,1677721600,31,25.447195053100586,7.2028679847717285,3.532925371796475,88.32313429491188
4,10,40,8192,8192,100,6710886400,33,102.33332109451294,27.931423902511597,3.6637344895729114,91.59336223932279
6,10,60,256,256,100,6553600,23,0.10133194923400879,0.5034401416778564,0.20127904162805027,3.3546506938008376
6,10,60,512,512,100,26214400,25,0.3996260166168213,0.5410020351409912,0.7386774737597323,12.311291229328871
6,10,60,1024,1024,100,104857600,27,1.606813907623291,0.7802419662475586,2.059378983869568,34.3229830644928
6,10,60,2048,2048,100,419430400,29,6.452423095703125,1.665992021560669,3.87302160646521,64.5503601077535
6,10,60,4096,4096,100,1677721600,31,25.447195053100586,5.3560991287231445,4.751068723996341,79.18447873327236
6,10,60,8192,8192,100,6710886400,33,102.33332109451294,20.261146068572998,5.050717306324633,84.17862177207721
8,10,80,256,256,100,6553600,23,0.10133194923400879,0.5034918785095215,0.20125835899077468,2.5157294873846836
8,10,80,512,512,100,26214400,25,0.3996260166168213,0.5496261119842529,0.7270870286240527,9.08858785780066
8,10,80,1024,1024,100,104857600,27,1.606813907623291,0.747006893157959,2.151002785035239,26.88753481294049
8,10,80,2048,2048,100,419430400,29,6.452423095703125,1.49711012840271,4.3099188050964,53.873985063705
8,10,80,4096,4096,100,1677721600,31,25.447195053100586,4.496289968490601,5.659598298025957,70.74497872532446
8,10,80,8192,8192,100,6710886400,33,102.33332109451294,16.755670070648193,6.107384584623429,76.34230730779286
10,10,100,256,256,100,6553600,23,0.10133194923400879,0.5312051773071289,0.1907585873836868,1.907585873836868
10,10,100,512,512,100,26214400,25,0.3996260166168213,0.6423211097717285,0.6221592448656132,6.221592448656132
10,10,100,1024,1024,100,104857600,27,1.606813907623291,0.8429403305053711,1.9062012451817936,19.062012451817935
10,10,100,2048,2048,100,419430400,29,6.452423095703125,1.422469139099121,4.536072466070918,45.36072466070918
10,10,100,4096,4096,100,1677721600,31,25.447195053100586,3.8936071395874023,6.535634988535894,65.35634988535894
10,10,100,8192,8192,100,6710886400,33,102.33332109451294,14.325527906417847,7.143424086219366,71.43424086219366
12,10,120,256,256,100,6553600,23,0.10133194923400879,0.5549020767211914,0.18261230852254076,1.5217692376878396
12,10,120,512,512,100,26214400,25,0.3996260166168213,0.718940258026123,0.5558542760062001,4.632118966718334
12,10,120,1024,1024,100,104857600,27,1.606813907623291,0.9072310924530029,1.771118649911713,14.75932208259761
12,10,120,2048,2048,100,419430400,29,6.452423095703125,1.4017000198364258,4.603283872719145,38.36069893932621
12,10,120,4096,4096,100,1677721600,31,25.447195053100586,3.625952959060669,7.018070929329673,58.4839244110806
12,10,120,8192,8192,100,6710886400,33,102.33332109451294,13.008668184280396,7.866548646245891,65.5545720520491
14,10,140,256,256,100,6553600,23,0.10133194923400879,0.7274219989776611,0.13930283848498326,0.9950202748927375
14,10,140,512,512,100,26214400,25,0.3996260166168213,0.8318111896514893,0.4804287578582056,3.431633984701469
14,10,140,1024,1024,100,104857600,27,1.606813907623291,0.8977468013763428,1.7898297216541144,12.784498011815101
14,10,140,2048,2048,100,419430400,29,6.452423095703125,1.4874730110168457,4.33784213085803,30.98458664898593
14,10,140,4096,4096,100,1677721600,31,25.447195053100586,3.5259897708892822,7.217035983256016,51.55025702325726
14,10,140,8192,8192,100,6710886400,33,102.33332109451294,12.405837059020996,8.248804220759977,58.92003014828555
