epoch,cpu_loss,cpu_accuracy,cpu_time_s,gpu_baseline_loss,gpu_baseline_accuracy,gpu_baseline_time_s,gpu_optimized_loss,gpu_optimized_accuracy,gpu_optimized_time_s
1,1.5645308977365493,0.589244,7.22160893399996,1.5431515020132065,0.594644,1.7164386759977788,1.54315185546875,0.5946440100669861,1.326550166002562
2,0.8585267579555511,0.769824,7.159158286001912,0.8475767081975937,0.77338,1.5948783429994364,0.8475767374038696,0.7733799815177917,1.3222651220021362
3,0.701381214261055,0.808958,7.16239797900198,0.6955235958099365,0.810128,1.6524885139988328,0.6955236792564392,0.8101279735565186,1.2864037139988795
4,0.6170922422409058,0.82972,7.100688644997717,0.6135708463191986,0.830932,1.5940549160004593,0.6135708689689636,0.8309320211410522,1.3062405819982814
5,0.5548048758506775,0.844568,7.163582396002312,0.5472253882884979,0.84611,1.6542913589983073,0.5472253561019897,0.8461099863052368,1.3143490120019123
6,0.5151280760765076,0.854878,7.134071396998479,0.5130039605498314,0.855388,1.6545490110001992,0.5130040049552917,0.8553879857063293,1.2819059260000358
7,0.4801333099603653,0.864272,7.1899351210013265,0.47963777095079424,0.86444,1.5962977269991825,0.4796378016471863,0.8644400238990784,1.3186964060005266
8,0.4410250282287598,0.873306,7.1641570899992075,0.4414741054177284,0.87391,1.656972210999811,0.4414741098880768,0.8739100098609924,1.3154687140013266
9,0.41116209715604785,0.881114,7.138847402002284,0.41220269352197647,0.880658,1.657479986002727,0.41220271587371826,0.880657970905304,1.2706717180008127
10,0.38656659245491026,0.88737,7.182589921998442,0.38782613813877104,0.887196,1.5984618960028456,0.3878260552883148,0.8871960043907166,1.3162954869985697
