method,device,total_time_s,avg_epoch_time_s,final_accuracy,speedup_vs_cpu
CPU,cpu,716.9771111599985,7.16973977509977,0.978196,1.0
GPU_Baseline,cuda,164.30722553699889,1.6430466916498334,0.97862,4.363637136569802
GPU_Optimized,cuda,130.49399093800093,1.3048323328697733,0.9786199927330017,5.494330474578264
